wrong,updated,animal,shank
13,13,3xTg1-1,shank4
14,14,3xTg1-1,shank4
15,15,3xTg1-1,shank4
16,16,3xTg1-1,shank4
17,17,3xTg1-1,shank4
18,18,3xTg1-1,shank4
19,19,3xTg1-1,shank4
20,20,3xTg1-1,shank4
21,21,3xTg1-1,shank4
22,22,3xTg1-1,shank4
23,23,3xTg1-1,shank4
24,24,3xTg1-1,shank4
25,25,3xTg1-1,shank4
26,26,3xTg1-1,shank4
27,27,3xTg1-1,shank4
28,28,3xTg1-1,shank4
29,29,3xTg1-1,shank4
30,30,3xTg1-1,shank4
31,31,3xTg1-1,shank4
32,32,3xTg1-1,shank4
33,33,3xTg1-1,shank4
34,34,3xTg1-1,shank4
35,35,3xTg1-1,shank4
36,36,3xTg1-1,shank4
37,37,3xTg1-1,shank4
38,38,3xTg1-1,shank4
39,39,3xTg1-1,shank4
40,40,3xTg1-1,shank4
41,41,3xTg1-1,shank4
42,42,3xTg1-1,shank4
43,43,3xTg1-1,shank4
44,44,3xTg1-1,shank4
45,45,3xTg1-1,shank4
46,46,3xTg1-1,shank4
47,47,3xTg1-1,shank4
48,48,3xTg1-1,shank4
49,49,3xTg1-1,shank4
50,50,3xTg1-1,shank4
51,51,3xTg1-1,shank4
52,52,3xTg1-1,shank4
53,53,3xTg1-1,shank4
54,54,3xTg1-1,shank4
55,55,3xTg1-1,shank4
56,56,3xTg1-1,shank4
57,57,3xTg1-1,shank4
58,58,3xTg1-1,shank4
59,59,3xTg1-1,shank4
60,60,3xTg1-1,shank4
61,61,3xTg1-1,shank4
62,62,3xTg1-1,shank4
63,63,3xTg1-1,shank4
64,64,3xTg1-1,shank4
1,1,3xTg1-1,shank5
2,2,3xTg1-1,shank5
3,3,3xTg1-1,shank5
4,4,3xTg1-1,shank5
5,5,3xTg1-1,shank5
6,6,3xTg1-1,shank5
7,7,3xTg1-1,shank5
8,8,3xTg1-1,shank5
9,9,3xTg1-1,shank5
10,10,3xTg1-1,shank5
11,11,3xTg1-1,shank5
12,12,3xTg1-1,shank5
13,13,3xTg1-1,shank5
14,14,3xTg1-1,shank5
15,15,3xTg1-1,shank5
16,16,3xTg1-1,shank5
17,17,3xTg1-1,shank5
18,19,3xTg1-1,shank5
19,20,3xTg1-1,shank5
20,22,3xTg1-1,shank5
21,23,3xTg1-1,shank5
22,24,3xTg1-1,shank5
23,25,3xTg1-1,shank5
24,26,3xTg1-1,shank5
25,27,3xTg1-1,shank5
26,28,3xTg1-1,shank5
27,29,3xTg1-1,shank5
28,30,3xTg1-1,shank5
29,31,3xTg1-1,shank5
30,32,3xTg1-1,shank5
31,33,3xTg1-1,shank5
32,34,3xTg1-1,shank5
33,35,3xTg1-1,shank5
34,36,3xTg1-1,shank5
35,37,3xTg1-1,shank5
36,38,3xTg1-1,shank5
37,39,3xTg1-1,shank5
38,40,3xTg1-1,shank5
39,41,3xTg1-1,shank5
40,42,3xTg1-1,shank5
41,43,3xTg1-1,shank5
42,44,3xTg1-1,shank5
43,45,3xTg1-1,shank5
44,46,3xTg1-1,shank5
45,47,3xTg1-1,shank5
46,48,3xTg1-1,shank5
47,49,3xTg1-1,shank5
48,50,3xTg1-1,shank5
49,51,3xTg1-1,shank5
50,52,3xTg1-1,shank5
51,53,3xTg1-1,shank5
52,54,3xTg1-1,shank5
53,55,3xTg1-1,shank5
54,56,3xTg1-1,shank5
55,57,3xTg1-1,shank5
56,58,3xTg1-1,shank5
57,59,3xTg1-1,shank5
58,60,3xTg1-1,shank5
59,61,3xTg1-1,shank5
60,62,3xTg1-1,shank5
61,63,3xTg1-1,shank5
62,64,3xTg1-1,shank5
1,1,3xTg1-1,shank6
2,2,3xTg1-1,shank6
3,3,3xTg1-1,shank6
4,4,3xTg1-1,shank6
5,5,3xTg1-1,shank6
6,6,3xTg1-1,shank6
7,7,3xTg1-1,shank6
8,8,3xTg1-1,shank6
9,9,3xTg1-1,shank6
10,10,3xTg1-1,shank6
11,11,3xTg1-1,shank6
12,12,3xTg1-1,shank6
13,13,3xTg1-1,shank6
14,14,3xTg1-1,shank6
