Animal,shank,binary_t0,binary_t1
3xTg49-1,shank6,0,end
3xTg49-1,shank7,0,12802
3xTg49-1,shank8,,
3xTg132,shank1,,
3xTg132,shank2,,
3xTg132,shank3,,
3xTg132,shank4,0,end
3xTg132,shank5,,
3xTg132,shank6,,
3xTg132,shank7,,
3xTg132,shank8,,
AD-WT-44-1,shank1,,
AD-WT-44-1,shank2,0,7000
AD-WT-44-1,shank3,0,7000
AD-WT-44-1,shank4,,
AD-WT-44-1,shank5,,
AD-WT-44-1,shank6,,
AD-WT-44-1,shank7,,
AD-WT-44-1,shank8,,
WT181,shank1,,
WT181,shank2,,
WT181,shank3,,
WT181,shank4,2600,8600
WT181,shank5,,
WT181,shank6,,
WT181,shank7,2600,8600
WT181,shank8,,
WT173,shank1,,
WT173,shank2,,
WT173,shank3,0,6200
WT173,shank4,,
WT173,shank5,,
WT173,shank6,0,end
WT173,shank7,,
WT173,shank8,,
3xTg148-1,shank1,0,end
3xTg148-1,shank2,,
3xTg148-1,shank3,,
3xTg148-1,shank4,0,end
3xTg148-1,shank5,,
3xTg148-1,shank6,,
3xTg148-1,shank7,0,end
3xTg148-1,shank8,,
3xTg177,shank1,,
3xTg177,shank2,,
3xTg177,shank3,0,end
3xTg177,shank4,0,end
3xTg177,shank5,0,end
3xTg177,shank6,0,end
3xTg177,shank7,0,end
3xTg177,shank8,,
3xTg165,shank1,,
3xTg165,shank2,,
3xTg165,shank3,0,end
3xTg165,shank4,,
3xTg165,shank5,,
3xTg165,shank6,0,end
3xTg165,shank7,0,end 
3xTg165,shank8,,
